date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,data_type
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,112,1.9,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,113,1.1,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,114,2.5,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,115,6.4,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,116,14.8,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,117,5.6,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,118,1.3,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,119,7,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,120,3.5,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,121,0.7,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,122,0.8,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,123,3.4,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,124,0.5,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,125,1.4,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,126,1.2,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,127,2.5,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,128,1.2,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,129,1.2,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,130,0.6,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,131,5.5,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,132,1.2,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,133,2.1,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,134,2.6,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,135,3.3,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,136,2.1,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,137,2.3,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,138,1.4,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,139,1.9,NA,NA,,raw
2019-12-20,N2,OP50,Tyrosine,oct_1.0,1,140,1,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,141,2.6,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,142,4.6,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,143,20,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,144,2.3,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,145,10.5,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,146,1.8,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,147,8.2,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,148,7.8,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,149,1.6,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,150,4.6,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,151,2.3,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,152,1.3,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,153,4.7,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,154,20,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,155,20,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,156,3.8,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,157,3.1,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,158,4.5,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,159,2.8,NA,NA,,raw
2019-12-20,N2,JUb39,Tyrosine,oct_1.0,2,160,2.3,NA,NA,,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,161,1,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,162,1.1,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,163,2,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,164,1,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,165,0.9,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,166,5.3,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,167,1.1,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,168,1.7,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,169,17.3,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,170,1.6,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,171,2.7,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,172,2.1,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,173,1.4,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,174,1.4,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,175,1.4,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,176,0.8,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,177,1.8,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,178,1.2,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,179,1.6,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,180,1.8,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,181,2.7,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,182,20,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,183,20,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,184,12.1,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,185,20,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,186,5.6,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,187,20,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,188,20,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,189,2.3,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,190,6.3,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,191,1.4,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,192,2.4,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,193,5.2,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,194,0.9,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,195,2.1,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,196,9.7,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,197,12.8,NA,NA,Ex1,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,198,20,NA,NA,Ex1,raw
