date,genotype,strain,plate,group,odorant.order,soak.order,source.plate,assay,conc,nCue,nControl,outside,dead,fungus,note,user,bench,scorer
7_23_15,N2,DA1877,87,,,,C3,IAA,,81,0,6,1,,temp gradient,PHC,PHC,PHC
7_23_15,N2,DA1877,88,,,,C3,bz,,130,2,1,1,,temp gradient,PHC,PHC,PHC
7_23_15,N2,DA1877,89,,,,C3,2-but,,76,9,3,0,,temp gradient,PHC,PHC,PHC
7_23_15,N2,OP50,90,,,,D3,IAA,,33,0,4,1,,temp gradient,PHC,PHC,PHC
7_23_15,N2,OP50,91,,,,D3,bz,,66,1,6,10,,temp gradient,PHC,PHC,PHC
7_23_15,N2,OP50,92,,,,D3,2-but,,36,22,9,8,,temp gradient,PHC,PHC,PHC
7_23_15,N2,OP50,93,,,,A4,1-hex,,108,15,13,1,,temp gradient,PHC,PHC,PHC
7_23_15,N2,OP50,94,,,,A4,diacetyl,,48,1,6,1,,temp gradient,PHC,PHC,PHC
7_23_15,N2,OP50,95,,,,A4,EtOH,,5,3,4,4,,temp gradient,PHC,PHC,PHC
7_23_15,N2,DA1877,96,,,,B4,1-hex,,41,3,1,0,,temp gradient,PHC,PHC,PHC
7_23_15,N2,DA1877,97,,,,B4,diacetyl,,125,0,4,1,,temp gradient,PHC,PHC,PHC
7_23_15,N2,DA1877,98,,,,B4,EtOH,,34,11,13,3,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PA103,99,,,,C4,1-hex,,132,3,16,2,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PA103,100,,,,C4,diacetyl,,140,10,5,3,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PA103,101,,,,C4,EtOH,,51,80,32,1,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PAK,102,,,,D4,1-hex,,107,6,3,1,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PAK,103,,,,D4,diacetyl,,124,2,5,5,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PAK,104,,,,D4,EtOH,,24,45,39,0,,temp gradient,PHC,PHC,PHC
7_23_15,N2,OP50,105,B,1,NA,A2,2-but,,82,2,4,,,,MOD,MOD,MOD
7_23_15,N2,DA1877,106,B,2,NA,B2,2-but,,45,1,4,,,,MOD,MOD,MOD
7_23_15,N2,PA103,107,B,3,NA,C2,2-but,,152,4,4,,,,MOD,MOD,MOD
7_23_15,N2,PAK,108,B,4,NA,D2,2-but,,290,16,5,,,,MOD,MOD,MOD
7_23_15,N2,OP50,109,B,5,NA,A2,1-hex,,93,23,5,,,,MOD,MOD,MOD
7_23_15,N2,DA1877,110,B,6,NA,B2,1-hex,,48,12,12,,,,MOD,MOD,MOD
7_23_15,N2,PA103,111,B,7,NA,C2,1-hex,,155,16,8,,,,MOD,MOD,MOD
7_23_15,N2,PAK,112,B,8,NA,D2,1-hex,,93,16,4,,,,MOD,MOD,MOD
7_23_15,N2,OP50,113,B,9,NA,A2,diacetyl,,39,3,2,,,,MOD,MOD,MOD
7_23_15,N2,DA1877,114,B,10,NA,B2,diacetyl,,149,8,2,,,,MOD,MOD,MOD
7_23_15,N2,PA103,115,B,11,NA,C2,diacetyl,,168,13,6,,,,MOD,MOD,MOD
7_23_15,N2,PAK,116,B,12,NA,D2,diacetyl,,107,1,1,,,,MOD,MOD,MOD
7_23_15,N2,OP50,117,C,1,NA,A3,2-but,,84,0,2,,,,MOD,MOD,MOD
7_23_15,N2,DA1877,118,C,2,NA,B3,2-but,,133,0,4,,,,MOD,MOD,MOD
7_23_15,N2,PA103,119,C,3,NA,C3,2-but,,129,1,2,,,,MOD,MOD,MOD
7_23_15,N2,PAK,120,C,4,NA,D3,2-but,,174,1,6,,,,MOD,MOD,MOD
7_23_15,N2,OP50,121,C,5,NA,A3,1-hex,,94,3,0,,,,MOD,MOD,MOD
7_23_15,N2,DA1877,122,C,6,NA,B3,1-hex,,198,7,10,,,,MOD,MOD,MOD
7_23_15,N2,PA103,123,C,7,NA,C3,1-hex,,97,13,10,,,,MOD,MOD,MOD
7_23_15,N2,PAK,124,C,8,NA,D3,1-hex,,55,7,4,,,,MOD,MOD,MOD
7_23_15,N2,OP50,125,C,9,NA,A3,diacetyl,,39,3,2,,,,MOD,MOD,MOD
7_23_15,N2,DA1877,126,C,10,NA,B3,diacetyl,,149,8,2,,,,MOD,MOD,MOD
7_23_15,N2,PA103,127,C,11,NA,C3,diacetyl,,168,13,6,,,,MOD,MOD,MOD
7_23_15,N2,PAK,128,C,12,NA,D3,diacetyl,,107,1,1,,,,MOD,MOD,MOD
7_23_15,N2,PAK,129,D,1,NA,A4,IAA,,93,3,0,,,,MOD,MOD,MOD
7_23_15,N2,PA103,130,D,2,NA,B4,IAA,,142,3,3,,,,MOD,MOD,MOD
7_23_15,N2,DA1877,131,D,3,NA,C4,IAA,,151,5,2,,,,MOD,MOD,MOD
7_23_15,N2,OP50,132,D,4,NA,D4,IAA,,108,0,0,,,,MOD,MOD,MOD
7_23_15,N2,PAK,133,D,5,NA,A4,bz,,83,1,0,,,,MOD,MOD,MOD
7_23_15,N2,PA103,134,D,6,NA,B4,bz,,42,4,2,,,,MOD,MOD,MOD
7_23_15,N2,DA1877,135,D,7,NA,C4,bz,,180,1,0,,,,MOD,MOD,MOD
7_23_15,N2,OP50,136,D,8,NA,D4,bz,,91,1,0,,,,MOD,MOD,MOD
7_23_15,N2,PAK,137,D,9,NA,A4,EtOH,,38,14,5,,,,MOD,MOD,MOD
7_23_15,N2,PA103,138,D,10,NA,B4,EtOH,,15,8,9,,,,MOD,MOD,MOD
7_23_15,N2,DA1877,139,D,11,NA,C4,EtOH,,86,35,8,,,,MOD,MOD,MOD
7_23_15,N2,OP50,140,D,12,NA,D4,EtOH,,32,23,6,,,,MOD,MOD,MOD
7_27_15,N2,OP50,141,A,1,NA,A1,bz,,44,0,5,,,,MOD,MOD,MOD
7_27_15,N2,JUb39,142,A,2,NA,B1,bz,,88,0,3,,,,MOD,MOD,MOD
7_27_15,N2,DA1878,143,A,3,NA,C1,bz,,62,1,1,,,,MOD,MOD,MOD
7_27_15,N2,OP50,144,A,4,NA,A1,2-but,,46,4,2,,,,MOD,MOD,MOD
7_27_15,N2,JUb39,145,A,5,NA,B1,2-but,,114,6,2,,,,MOD,MOD,MOD
7_27_15,N2,DA1878,146,A,6,NA,C1,2-but,,62,12,4,,,,MOD,MOD,MOD
7_27_15,N2,OP50,147,A,7,NA,A1,1-hex,,33,3,3,,,,MOD,MOD,MOD
7_27_15,N2,JUb39,148,A,8,NA,B1,1-hex,,83,15,5,,,,MOD,MOD,MOD
7_27_15,N2,DA1878,149,A,9,NA,C1,1-hex,,86,6,1,,,,MOD,MOD,MOD
7_27_15,N2,DA1878,150,B,1,NA,A2,2-but,,62,7,1,,,,MOD,MOD,MOD
7_27_15,N2,JUb39,151,B,2,NA,B2,2-but,,32,7,3,,,,MOD,MOD,MOD
7_27_15,N2,OP50,152,B,3,NA,C2,2-but,,29,9,3,,,,MOD,MOD,MOD
7_27_15,N2,DA1878,153,B,4,NA,A2,1-hex,,36,13,5,,,,MOD,MOD,MOD
7_27_15,N2,JUb39,154,B,5,NA,B2,1-hex,,7,2,1,,,,MOD,MOD,MOD
7_27_15,N2,OP50,155,B,6,NA,C2,1-hex,,24,13,3,,,,MOD,MOD,MOD
7_27_15,N2,DA1878,156,B,7,NA,A2,2-but,,32,10,1,,,,MOD,MOD,MOD
7_27_15,N2,JUb39,157,B,8,NA,B2,2-but,,32,4,1,,,,MOD,MOD,MOD
7_27_15,N2,OP50,158,B,9,NA,C2,2-but,,56,5,3,,,,MOD,MOD,MOD
7_27_15,N2,JUb39,159,C,1,NA,A3,bz,,129,9,2,,,,MOD,MOD,MOD
7_27_15,N2,OP50,160,C,2,NA,B3,bz,,34,0,4,,,,MOD,MOD,MOD
7_27_15,N2,DA1878,161,C,3,NA,C3,bz,,36,0,1,,,,MOD,MOD,MOD
7_27_15,N2,JUb39,162,C,4,NA,A3,diacetyl,,29,0,0,,,,MOD,MOD,MOD
7_27_15,N2,OP50,163,C,5,NA,B3,diacetyl,,24,0,0,,,,MOD,MOD,MOD
7_27_15,N2,DA1878,164,C,6,NA,C3,diacetyl,,39,1,2,,,,MOD,MOD,MOD
7_27_15,N2,JUb39,165,C,7,NA,A3,EtOH,,18,42,13,,,,MOD,MOD,MOD
7_27_15,N2,OP50,166,C,8,NA,B3,EtOH,,30,13,12,,,,MOD,MOD,MOD
