date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,603,12.9,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,604,9.1,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,605,6.7,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,606,5,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,607,10.1,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,608,13.6,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,609,6.7,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,610,4.4,NA,NA,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,782,3.6,NA,A,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,783,2,NA,A,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,784,5.9,NA,A,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,786,1.6,NA,A,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,787,0.9,NA,A,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,788,3,NA,A,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,789,0.4,NA,A,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,790,2,NA,A,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,791,1.8,NA,A,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,792,1.7,NA,A,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,793,1.9,NA,A,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,794,1.9,NA,A,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,795,1.9,NA,A,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,796,1.1,NA,A,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,797,1.2,NA,A,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,798,1.5,NA,A,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,831,4.9,NA,B,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,832,2.8,NA,B,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,833,2.1,NA,B,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,834,6.3,NA,B,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,835,6.2,NA,B,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,836,1.1,NA,B,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,837,3.5,NA,B,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,838,2.5,NA,B,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,839,2.8,NA,B,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,840,1.2,NA,B,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,841,1.8,NA,B,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,842,3.1,NA,B,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,843,1.6,NA,B,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,844,2,NA,B,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,845,4.9,NA,B,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,846,5,NA,B,non-paralyzed
2018_11_13,N2,OP50,off_food,oct_1.0,62,847,1.3,NA,B,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,799,10.4,NA,A,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,800,6,NA,A,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,801,4.9,NA,A,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,802,10.7,NA,A,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,803,3.8,NA,A,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,804,2.6,NA,A,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,805,3.6,NA,A,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,806,3.7,NA,A,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,807,12.6,NA,A,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,808,2.6,NA,A,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,809,2.1,NA,A,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,810,3.4,NA,A,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,811,2.1,NA,A,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,812,5,NA,A,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,813,3.4,NA,A,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,814,1.6,NA,A,non-paralyzed
2018_11_13,N2,JUb39,off_food,oct_1.0,63,848,5.5,NA,B,non-paralyzed
