date,genotype,animal,food,cond,cue,response.time,pir,group,paralyzed,plateID,data_type,log.response
2018_10_29,N2,590,OP50,Tyrosine,oct_1.0,1.1,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,0.09531017980432493
2018_10_29,N2,593,JUb39,Tyrosine,oct_1.0,9,NA,NA,non-paralyzed,N2.JUb39.2018_10_29.oct_1.0.Tyrosine,raw,2.1972245773362196
2018_10_29,N2,594,JUb39,Tyrosine,oct_1.0,13.6,NA,NA,non-paralyzed,N2.JUb39.2018_10_29.oct_1.0.Tyrosine,raw,2.6100697927420065
2018_10_29,N2,596,JUb39,Tyrosine,oct_1.0,15.7,NA,NA,non-paralyzed,N2.JUb39.2018_10_29.oct_1.0.Tyrosine,raw,2.7536607123542622
2018_10_29,N2,597,JUb39,Tyrosine,oct_1.0,4.9,NA,NA,non-paralyzed,N2.JUb39.2018_10_29.oct_1.0.Tyrosine,raw,1.589235205116581
2018_10_29,N2,598,JUb39,Tyrosine,oct_1.0,6.1,NA,NA,non-paralyzed,N2.JUb39.2018_10_29.oct_1.0.Tyrosine,raw,1.8082887711792655
2018_10_29,N2,600,JUb39,Tyrosine,oct_1.0,7.5,NA,NA,non-paralyzed,N2.JUb39.2018_10_29.oct_1.0.Tyrosine,raw,2.0149030205422647
2018_10_29,N2,603,JUb39,Tyrosine,oct_1.0,12.9,NA,NA,non-paralyzed,N2.JUb39.2018_10_29.oct_1.0.Tyrosine,raw,2.5572273113676265
2018_10_29,N2,604,JUb39,Tyrosine,oct_1.0,9.1,NA,NA,non-paralyzed,N2.JUb39.2018_10_29.oct_1.0.Tyrosine,raw,2.2082744135228043
2018_10_29,N2,605,JUb39,Tyrosine,oct_1.0,6.7,NA,NA,non-paralyzed,N2.JUb39.2018_10_29.oct_1.0.Tyrosine,raw,1.9021075263969205
2018_10_29,N2,606,JUb39,Tyrosine,oct_1.0,5,NA,NA,non-paralyzed,N2.JUb39.2018_10_29.oct_1.0.Tyrosine,raw,1.6094379124341003
2018_10_29,N2,607,JUb39,Tyrosine,oct_1.0,10.1,NA,NA,non-paralyzed,N2.JUb39.2018_10_29.oct_1.0.Tyrosine,raw,2.3125354238472138
2018_10_29,N2,608,JUb39,Tyrosine,oct_1.0,13.6,NA,NA,non-paralyzed,N2.JUb39.2018_10_29.oct_1.0.Tyrosine,raw,2.6100697927420065
2018_10_29,N2,609,JUb39,Tyrosine,oct_1.0,6.7,NA,NA,non-paralyzed,N2.JUb39.2018_10_29.oct_1.0.Tyrosine,raw,1.9021075263969205
2018_10_29,N2,610,JUb39,Tyrosine,oct_1.0,4.4,NA,NA,non-paralyzed,N2.JUb39.2018_10_29.oct_1.0.Tyrosine,raw,1.4816045409242156
2018_10_29,N2,603,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,13.5,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_29.oct_1.0.Tyrosine,raw,2.6026896854443837
2018_10_29,N2,604,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,5.4,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_29.oct_1.0.Tyrosine,raw,1.6863989535702288
2018_10_29,N2,605,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,2.6,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_29.oct_1.0.Tyrosine,raw,0.9555114450274363
2018_10_29,N2,606,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,7.3,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_29.oct_1.0.Tyrosine,raw,1.9878743481543455
2018_10_29,N2,607,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,5.4,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_29.oct_1.0.Tyrosine,raw,1.6863989535702288
2018_10_29,N2,609,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,8.1,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_29.oct_1.0.Tyrosine,raw,2.0918640616783932
2018_10_29,N2,610,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,4.2,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_29.oct_1.0.Tyrosine,raw,1.4350845252893227
2018_10_29,N2,611,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,12.7,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_29.oct_1.0.Tyrosine,raw,2.5416019934645457
