date,genotype,food,cond,cue,animal,response.time,pir,group,paralyzed,plateID,TA,data_type
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4936,6.2,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4937,2.2,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4938,3.4,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4939,1.6,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4940,14.6,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4941,2.2,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4942,3,NA,NA,non-paralyzed,258,10,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4936,1.8,NA,NA,non-paralyzed,267,0,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4937,4.5,NA,NA,non-paralyzed,267,0,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4938,1.9,NA,NA,non-paralyzed,267,0,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4939,5.5,NA,NA,non-paralyzed,267,0,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4941,4.3,NA,NA,non-paralyzed,267,0,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4942,2.2,NA,NA,non-paralyzed,267,0,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4943,1.2,NA,NA,non-paralyzed,267,0,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4944,2.6,NA,NA,non-paralyzed,267,0,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4945,1.3,NA,NA,non-paralyzed,267,0,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4947,3,NA,NA,non-paralyzed,267,0,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4948,2.5,NA,NA,non-paralyzed,267,0,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4949,2.3,NA,NA,non-paralyzed,267,0,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4950,2.8,NA,NA,non-paralyzed,267,0,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4951,2.9,NA,NA,non-paralyzed,267,0,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4952,2.1,NA,NA,non-paralyzed,267,0,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4953,1.2,NA,NA,non-paralyzed,267,0,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4955,3.9,NA,NA,non-paralyzed,268,10,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4956,1.2,NA,NA,non-paralyzed,268,10,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4957,2,NA,NA,non-paralyzed,268,10,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4958,4.2,NA,NA,non-paralyzed,268,10,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4959,0.8,NA,NA,non-paralyzed,268,10,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4961,2,NA,NA,non-paralyzed,268,10,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4963,0.9,NA,NA,non-paralyzed,268,10,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4964,1.4,NA,NA,non-paralyzed,268,10,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4965,1.4,NA,NA,non-paralyzed,268,10,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4966,3.9,NA,NA,non-paralyzed,268,10,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4967,5.1,NA,NA,non-paralyzed,268,10,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4968,2,NA,NA,non-paralyzed,268,10,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4969,1.2,NA,NA,non-paralyzed,268,10,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4971,5.5,NA,NA,non-paralyzed,268,10,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4972,2.5,NA,NA,non-paralyzed,268,10,raw
2019_06_03,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4973,1.7,NA,NA,non-paralyzed,268,10,raw
