date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,tdc,tbh,data_type
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,1995,4,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,1996,4.1,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,1997,1.4,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,1998,2,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,1999,2.9,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,2000,2.3,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,2001,3.8,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,2002,3.9,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,2003,1.2,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,2004,7.6,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,2005,5.5,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,2006,2.5,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,2007,1.7,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,2008,4.2,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,2009,1.2,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,2010,1.9,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,2011,3.4,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,2012,2.3,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,2013,2.5,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,OP50,Tyrosine,oct_1.0,122,2014,1.9,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tdc-1,JUb39,Tyrosine,oct_1.0,127,2093,2.6,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,JUb39,Tyrosine,oct_1.0,127,2094,2.9,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,JUb39,Tyrosine,oct_1.0,127,2095,18.9,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,JUb39,Tyrosine,oct_1.0,127,2096,5.2,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,JUb39,Tyrosine,oct_1.0,127,2097,3.9,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,JUb39,Tyrosine,oct_1.0,127,2098,5.9,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,JUb39,Tyrosine,oct_1.0,127,2100,6,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,JUb39,Tyrosine,oct_1.0,127,2101,6,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,JUb39,Tyrosine,oct_1.0,127,2102,11.2,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,JUb39,Tyrosine,oct_1.0,127,2103,5,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,JUb39,Tyrosine,oct_1.0,127,2105,8.4,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,JUb39,Tyrosine,oct_1.0,127,2106,5.5,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,JUb39,Tyrosine,oct_1.0,127,2107,3.2,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,JUb39,Tyrosine,oct_1.0,127,2108,2.6,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,JUb39,Tyrosine,oct_1.0,127,2109,1.9,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,JUb39,Tyrosine,oct_1.0,127,2110,8.1,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,JUb39,Tyrosine,oct_1.0,127,2111,2.5,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,JUb39,Tyrosine,oct_1.0,127,2112,5.4,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2113,2.3,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2114,3.9,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2115,5.9,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2116,3.4,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2117,5.9,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2118,5.1,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2119,6.7,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2120,2.9,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2121,1.9,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2122,4.3,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2123,1.6,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2124,3.2,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2125,8,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2126,6.3,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2127,1.2,NA,NA,non-paralyzed,mutant,+,raw
