date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,line,data_type
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1232,1.2,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1233,1.9,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1234,2.1,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1235,3.6,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1236,1.1,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1237,1.8,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1238,2.2,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1239,3.6,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1240,0.9,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1241,1.2,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1242,4.4,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1243,1.1,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1244,1.3,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1245,1.6,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1246,1.1,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1247,3.2,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1248,8,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1249,1.8,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1250,2.7,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],JUb39,Tyrosine,oct_1.0,261,1251,3.3,NA,NA,non-paralyzed,1,raw
