date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,data_type,log.response
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,909,6.5,NA,NA,non-paralyzed,raw,1.8718021769015913
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,910,1.7,NA,NA,non-paralyzed,raw,0.5306282510621704
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,911,6.1,NA,NA,non-paralyzed,raw,1.8082887711792655
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,912,12.8,NA,NA,non-paralyzed,raw,2.5494451709255714
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,913,9.8,NA,NA,non-paralyzed,raw,2.2823823856765264
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,915,10.4,NA,NA,non-paralyzed,raw,2.341805806147327
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,916,2.7,NA,NA,non-paralyzed,raw,0.9932517730102834
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,918,14.2,NA,NA,non-paralyzed,raw,2.653241964607215
2018_11_13,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,67,920,2.7,NA,NA,non-paralyzed,raw,0.9932517730102834
2018_11_13,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,67,921,4.4,NA,NA,non-paralyzed,raw,1.4816045409242156
2018_11_13,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,67,922,11,NA,NA,non-paralyzed,raw,2.3978952727983707
2018_11_13,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,67,923,2.3,NA,NA,non-paralyzed,raw,0.8329091229351039
2018_11_13,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,67,924,7.4,NA,NA,non-paralyzed,raw,2.0014800002101243
2018_11_13,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,67,925,4.5,NA,NA,non-paralyzed,raw,1.5040773967762742
2018_11_13,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,67,926,2.1,NA,NA,non-paralyzed,raw,0.7419373447293773
2018_11_13,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,67,927,9.1,NA,NA,non-paralyzed,raw,2.2082744135228043
2018_11_13,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,67,928,3.7,NA,NA,non-paralyzed,raw,1.308332819650179
2018_11_13,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,67,929,4.3,NA,NA,non-paralyzed,raw,1.4586150226995167
2018_11_13,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,67,930,0.7,NA,NA,non-paralyzed,raw,-0.35667494393873245
2018_11_13,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,67,931,5.9,NA,NA,non-paralyzed,raw,1.7749523509116738
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1439,6.9,NA,NA,non-paralyzed,raw,1.9315214116032138
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1440,4.3,NA,NA,non-paralyzed,raw,1.4586150226995167
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1441,5.7,NA,NA,non-paralyzed,raw,1.7404661748405046
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1442,8.7,NA,NA,non-paralyzed,raw,2.163323025660538
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1443,14.4,NA,NA,non-paralyzed,raw,2.667228206581955
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1444,4.1,NA,NA,non-paralyzed,raw,1.410986973710262
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1445,4.2,NA,NA,non-paralyzed,raw,1.4350845252893227
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1446,3.3,NA,NA,non-paralyzed,raw,1.1939224684724346
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1447,3.1,NA,NA,non-paralyzed,raw,1.1314021114911006
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1448,1.6,NA,NA,non-paralyzed,raw,0.47000362924573563
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1449,4.5,NA,NA,non-paralyzed,raw,1.5040773967762742
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1450,9.1,NA,NA,non-paralyzed,raw,2.2082744135228043
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1451,3.1,NA,NA,non-paralyzed,raw,1.1314021114911006
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1452,4.3,NA,NA,non-paralyzed,raw,1.4586150226995167
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1453,3.5,NA,NA,non-paralyzed,raw,1.252762968495368
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1454,4,NA,NA,non-paralyzed,raw,1.3862943611198906
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1455,5.5,NA,NA,non-paralyzed,raw,1.7047480922384253
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1456,5.6,NA,NA,non-paralyzed,raw,1.7227665977411035
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1457,4.6,NA,NA,non-paralyzed,raw,1.5260563034950492
2019_01_07,N2,OP50,Tyrosine,oct_1.0,94,1458,3.5,NA,NA,non-paralyzed,raw,1.252762968495368
2019_01_07,N2,JUb39,Tyrosine,oct_1.0,95,1460,3.2,NA,NA,non-paralyzed,raw,1.1631508098056809
