strain,plate,group,date,starting_date,time,day,hours,alive,dead,censored,bagged,total,note
JUb39,1,2,09-Oct,04-Oct,,5,120,13,0,7,0,20,
JUb39,2,2,09-Oct,04-Oct,,5,120,9,0,11,0,20,
JUb39,3,2,09-Oct,04-Oct,,5,120,15,0,5,0,20,
JUb39,4,2,09-Oct,04-Oct,,5,120,16,0,4,0,20,
PA14,1,2,09-Oct,04-Oct,,5,120,,,,,0,
PA14,2,2,09-Oct,04-Oct,,5,120,,,,,0,
PA14,3,2,09-Oct,04-Oct,,5,120,,,,,0,
PA14,4,2,09-Oct,04-Oct,,5,120,,,,,0,
OP50,1,3,09-Oct,06-Oct,,3,72,19,0,0,1,20,
OP50,2,3,09-Oct,06-Oct,,3,72,18,0,2,0,20,
OP50,3,3,09-Oct,06-Oct,,3,72,17,0,3,0,20,
OP50,4,3,09-Oct,06-Oct,,3,72,17,0,3,0,20,
JUb39,1,3,09-Oct,06-Oct,,3,72,15,0,5,0,20,
JUb39,2,3,09-Oct,06-Oct,,3,72,16,0,4,0,20,
JUb39,3,3,09-Oct,06-Oct,,3,72,13,0,7,0,20,
JUb39,4,3,09-Oct,06-Oct,,3,72,14,0,5,1,20,
PA14,1,3,09-Oct,06-Oct,,3,72,11,2,5,2,20,
PA14,2,3,09-Oct,06-Oct,,3,72,9,3,5,3,20,
PA14,3,3,09-Oct,06-Oct,,3,72,12,3,4,1,20,
PA14,4,3,09-Oct,06-Oct,,3,72,9,3,7,1,20,
OP50,1,1,10-Oct,02-Oct,,8,192,13,1,4,2,20,
OP50,2,1,10-Oct,02-Oct,,8,192,16,1,2,1,20,
OP50,3,1,10-Oct,02-Oct,,8,192,15,2,3,0,20,
OP50,4,1,10-Oct,02-Oct,,8,192,14,0,3,3,20,
JUb39,1,1,10-Oct,02-Oct,,8,192,9,2,9,0,20,
JUb39,2,1,10-Oct,02-Oct,,8,192,8,4,5,3,20,
JUb39,3,1,10-Oct,02-Oct,,8,192,12,3,4,1,20,
JUb39,4,1,10-Oct,02-Oct,,8,192,10,2,5,3,20,
PA14,1,1,10-Oct,02-Oct,,8,192,,,,,0,
PA14,2,1,10-Oct,02-Oct,,8,192,,,,,0,
PA14,3,1,10-Oct,02-Oct,,8,192,,,,,0,
PA14,4,1,10-Oct,02-Oct,,8,192,,,,,0,
OP50,1,2,10-Oct,04-Oct,,6,144,18,0,2,0,20,
OP50,2,2,10-Oct,04-Oct,,6,144,18,0,2,0,20,
OP50,3,2,10-Oct,04-Oct,,6,144,14,0,6,0,20,
OP50,4,2,10-Oct,04-Oct,,6,144,13,0,6,1,20,
JUb39,1,2,10-Oct,04-Oct,,6,144,11,1,7,1,20,
JUb39,2,2,10-Oct,04-Oct,,6,144,9,0,11,0,20,
JUb39,3,2,10-Oct,04-Oct,,6,144,15,0,5,0,20,
JUb39,4,2,10-Oct,04-Oct,,6,144,16,0,4,0,20,
PA14,1,2,10-Oct,04-Oct,,6,144,,,,,0,
PA14,2,2,10-Oct,04-Oct,,6,144,,,,,0,
PA14,3,2,10-Oct,04-Oct,,6,144,,,,,0,
PA14,4,2,10-Oct,04-Oct,,6,144,,,,,0,
OP50,1,3,10-Oct,06-Oct,,4,96,16,0,3,1,20,
OP50,2,3,10-Oct,06-Oct,,4,96,15,1,4,0,20,
OP50,3,3,10-Oct,06-Oct,,4,96,16,0,4,0,20,
OP50,4,3,10-Oct,06-Oct,,4,96,16,1,3,0,20,
JUb39,1,3,10-Oct,06-Oct,,4,96,15,0,5,0,20,
JUb39,2,3,10-Oct,06-Oct,,4,96,14,0,6,0,20,
JUb39,3,3,10-Oct,06-Oct,,4,96,11,0,8,1,20,
JUb39,4,3,10-Oct,06-Oct,,4,96,13,0,6,1,20,
PA14,1,3,10-Oct,06-Oct,,4,96,0,8,7,5,20,
PA14,2,3,10-Oct,06-Oct,,4,96,0,11,5,4,20,
PA14,3,3,10-Oct,06-Oct,,4,96,0,11,6,3,20,
PA14,4,3,10-Oct,06-Oct,,4,96,0,11,7,2,20,
OP50,1,1,11-Oct,02-Oct,,9,216,12,2,4,2,20,
OP50,2,1,11-Oct,02-Oct,,9,216,13,3,3,1,20,
OP50,3,1,11-Oct,02-Oct,,9,216,13,3,4,0,20,
OP50,4,1,11-Oct,02-Oct,,9,216,14,0,3,3,20,
JUb39,1,1,11-Oct,02-Oct,,9,216,8,3,9,0,20,
JUb39,2,1,11-Oct,02-Oct,,9,216,8,4,5,3,20,
JUb39,3,1,11-Oct,02-Oct,,9,216,12,3,4,1,20,
JUb39,4,1,11-Oct,02-Oct,,9,216,10,2,5,3,20,
PA14,1,1,11-Oct,02-Oct,,9,216,,,,,0,
PA14,2,1,11-Oct,02-Oct,,9,216,,,,,0,
PA14,3,1,11-Oct,02-Oct,,9,216,,,,,0,
PA14,4,1,11-Oct,02-Oct,,9,216,,,,,0,
OP50,1,2,11-Oct,04-Oct,,7,168,16,0,4,0,20,
OP50,2,2,11-Oct,04-Oct,,7,168,18,0,2,0,20,
OP50,3,2,11-Oct,04-Oct,,7,168,13,0,7,0,20,
OP50,4,2,11-Oct,04-Oct,,7,168,12,0,7,1,20,
JUb39,1,2,11-Oct,04-Oct,,7,168,10,2,7,1,20,
JUb39,2,2,11-Oct,04-Oct,,7,168,9,0,11,0,20,
JUb39,3,2,11-Oct,04-Oct,,7,168,15,0,5,0,20,
JUb39,4,2,11-Oct,04-Oct,,7,168,16,0,4,0,20,
PA14,1,2,11-Oct,04-Oct,,7,168,,,,,0,
PA14,2,2,11-Oct,04-Oct,,7,168,,,,,0,
PA14,3,2,11-Oct,04-Oct,,7,168,,,,,0,
PA14,4,2,11-Oct,04-Oct,,7,168,,,,,0,
OP50,1,3,11-Oct,06-Oct,,5,120,16,0,3,1,20,
OP50,2,3,11-Oct,06-Oct,,5,120,15,1,4,0,20,
OP50,3,3,11-Oct,06-Oct,,5,120,12,1,7,0,20,
OP50,4,3,11-Oct,06-Oct,,5,120,14,2,4,0,20,
JUb39,1,3,11-Oct,06-Oct,,5,120,13,0,7,0,20,
JUb39,2,3,11-Oct,06-Oct,,5,120,13,0,7,0,20,
JUb39,3,3,11-Oct,06-Oct,,5,120,10,1,8,1,20,
JUb39,4,3,11-Oct,06-Oct,,5,120,13,0,6,1,20,
PA14,1,3,11-Oct,06-Oct,,5,120,,,,,0,
PA14,2,3,11-Oct,06-Oct,,5,120,,,,,0,
PA14,3,3,11-Oct,06-Oct,,5,120,,,,,0,
PA14,4,3,11-Oct,06-Oct,,5,120,,,,,0,
OP50,1,1,13-Oct,02-Oct,,11,264,11,3,4,2,20,
OP50,2,1,13-Oct,02-Oct,,11,264,,,,,0,contaminated
OP50,3,1,13-Oct,02-Oct,,11,264,8,8,4,0,20,
OP50,4,1,13-Oct,02-Oct,,11,264,9,3,5,3,20,
JUb39,1,1,13-Oct,02-Oct,,11,264,6,5,9,0,20,
JUb39,2,1,13-Oct,02-Oct,,11,264,7,5,5,3,20,
JUb39,3,1,13-Oct,02-Oct,,11,264,8,7,4,1,20,
JUb39,4,1,13-Oct,02-Oct,,11,264,8,4,5,3,20,
PA14,1,1,13-Oct,02-Oct,,11,264,,,,,0,
PA14,2,1,13-Oct,02-Oct,,11,264,,,,,0,
PA14,3,1,13-Oct,02-Oct,,11,264,,,,,0,
PA14,4,1,13-Oct,02-Oct,,11,264,,,,,0,
OP50,1,2,13-Oct,04-Oct,,9,216,14,0,6,0,20,
OP50,2,2,13-Oct,04-Oct,,9,216,18,0,2,0,20,
OP50,3,2,13-Oct,04-Oct,,9,216,13,0,7,0,20,
OP50,4,2,13-Oct,04-Oct,,9,216,9,1,9,1,20,
JUb39,1,2,13-Oct,04-Oct,,9,216,9,3,7,1,20,
JUb39,2,2,13-Oct,04-Oct,,9,216,7,2,11,0,20,
JUb39,3,2,13-Oct,04-Oct,,9,216,15,0,5,0,20,
JUb39,4,2,13-Oct,04-Oct,,9,216,15,1,4,0,20,
PA14,1,2,13-Oct,04-Oct,,9,216,,,,,0,
PA14,2,2,13-Oct,04-Oct,,9,216,,,,,0,
PA14,3,2,13-Oct,04-Oct,,9,216,,,,,0,
PA14,4,2,13-Oct,04-Oct,,9,216,,,,,0,
OP50,1,3,13-Oct,06-Oct,,7,168,15,0,4,1,20,
OP50,2,3,13-Oct,06-Oct,,7,168,15,1,4,0,20,
OP50,3,3,13-Oct,06-Oct,,7,168,12,1,7,0,20,
OP50,4,3,13-Oct,06-Oct,,7,168,14,2,4,0,20,
JUb39,1,3,13-Oct,06-Oct,,7,168,12,1,7,0,20,
JUb39,2,3,13-Oct,06-Oct,,7,168,13,0,7,0,20,
JUb39,3,3,13-Oct,06-Oct,,7,168,10,1,8,1,20,
JUb39,4,3,13-Oct,06-Oct,,7,168,13,0,6,1,20,
PA14,1,3,13-Oct,06-Oct,,7,168,,,,,0,
PA14,2,3,13-Oct,06-Oct,,7,168,,,,,0,
PA14,3,3,13-Oct,06-Oct,,7,168,,,,,0,
PA14,4,3,13-Oct,06-Oct,,7,168,,,,,0,
OP50,1,1,14-Oct,02-Oct,,12,288,10,4,4,2,20,
OP50,2,1,14-Oct,02-Oct,,12,288,,,,,0,
OP50,3,1,14-Oct,02-Oct,,12,288,7,9,4,0,20,
OP50,4,1,14-Oct,02-Oct,,12,288,6,6,5,3,20,
JUb39,1,1,14-Oct,02-Oct,,12,288,6,5,9,0,20,
JUb39,2,1,14-Oct,02-Oct,,12,288,7,5,5,3,20,
JUb39,3,1,14-Oct,02-Oct,,12,288,7,8,4,1,20,
JUb39,4,1,14-Oct,02-Oct,,12,288,7,5,5,3,20,
PA14,1,1,14-Oct,02-Oct,,12,288,,,,,0,
PA14,2,1,14-Oct,02-Oct,,12,288,,,,,0,
PA14,3,1,14-Oct,02-Oct,,12,288,,,,,0,
PA14,4,1,14-Oct,02-Oct,,12,288,,,,,0,
OP50,1,2,14-Oct,04-Oct,,10,240,,,,,0,contaminated
OP50,2,2,14-Oct,04-Oct,,10,240,18,0,2,0,20,
OP50,3,2,14-Oct,04-Oct,,10,240,13,0,7,0,20,
OP50,4,2,14-Oct,04-Oct,,10,240,8,3,8,1,20,
JUb39,1,2,14-Oct,04-Oct,,10,240,9,3,7,1,20,
JUb39,2,2,14-Oct,04-Oct,,10,240,7,2,11,0,20,
JUb39,3,2,14-Oct,04-Oct,,10,240,15,0,5,0,20,
JUb39,4,2,14-Oct,04-Oct,,10,240,15,1,4,0,20,
PA14,1,2,14-Oct,04-Oct,,10,240,,,,,0,
PA14,2,2,14-Oct,04-Oct,,10,240,,,,,0,
PA14,3,2,14-Oct,04-Oct,,10,240,,,,,0,
PA14,4,2,14-Oct,04-Oct,,10,240,,,,,0,
OP50,1,3,14-Oct,06-Oct,,8,192,14,0,5,1,20,
OP50,2,3,14-Oct,06-Oct,,8,192,15,1,4,0,20,
OP50,3,3,14-Oct,06-Oct,,8,192,12,1,7,0,20,
OP50,4,3,14-Oct,06-Oct,,8,192,14,2,4,0,20,
JUb39,1,3,14-Oct,06-Oct,,8,192,12,1,7,0,20,
JUb39,2,3,14-Oct,06-Oct,,8,192,12,0,7,1,20,
JUb39,3,3,14-Oct,06-Oct,,8,192,9,2,8,1,20,
JUb39,4,3,14-Oct,06-Oct,,8,192,12,1,6,1,20,
PA14,1,3,14-Oct,06-Oct,,8,192,,,,,0,
PA14,2,3,14-Oct,06-Oct,,8,192,,,,,0,
PA14,3,3,14-Oct,06-Oct,,8,192,,,,,0,
PA14,4,3,14-Oct,06-Oct,,8,192,,,,,0,
OP50,1,1,15-Oct,02-Oct,,13,312,7,7,4,2,20,
OP50,2,1,15-Oct,02-Oct,,13,312,,,,,0,
OP50,3,1,15-Oct,02-Oct,,13,312,7,9,4,0,20,
OP50,4,1,15-Oct,02-Oct,,13,312,5,6,6,3,20,
JUb39,1,1,15-Oct,02-Oct,,13,312,5,6,9,0,20,
JUb39,2,1,15-Oct,02-Oct,,13,312,6,6,5,3,20,
JUb39,3,1,15-Oct,02-Oct,,13,312,6,9,4,1,20,
JUb39,4,1,15-Oct,02-Oct,,13,312,5,7,5,3,20,
PA14,1,1,15-Oct,02-Oct,,13,312,,,,,0,
PA14,2,1,15-Oct,02-Oct,,13,312,,,,,0,
PA14,3,1,15-Oct,02-Oct,,13,312,,,,,0,
PA14,4,1,15-Oct,02-Oct,,13,312,,,,,0,
OP50,1,1,16-Oct,02-Oct,,14,336,5,8,5,2,20,
OP50,2,1,16-Oct,02-Oct,,14,336,,,,,0,
OP50,3,1,16-Oct,02-Oct,,14,336,7,9,4,0,20,
OP50,4,1,16-Oct,02-Oct,,14,336,3,7,7,3,20,
