date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,line
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,92,13.6,NA,NA,non-paralyzed,
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,93,6.7,NA,NA,non-paralyzed,
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,94,4.4,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,95,8.2,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,96,10.3,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,97,2.3,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,98,2.7,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,99,8.8,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,100,7.1,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,101,2,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,102,14,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,103,5.5,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,104,2,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,105,2.1,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,106,9.9,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,107,5.4,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,108,2.7,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,109,2.6,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,110,6.8,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,111,2.8,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,112,5.1,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,113,3.7,NA,NA,non-paralyzed,
2018_10_29,tyra-2,OP50,Tyrosine,oct_1.0,54,114,3.4,NA,NA,non-paralyzed,
2018_10_29,tyra-2,JUb39,Tyrosine,oct_1.0,55,115,10.1,NA,NA,non-paralyzed,
2018_10_29,tyra-2,JUb39,Tyrosine,oct_1.0,55,116,9.8,NA,NA,non-paralyzed,
2018_10_29,tyra-2,JUb39,Tyrosine,oct_1.0,55,117,4.8,NA,NA,non-paralyzed,
2018_10_29,tyra-2,JUb39,Tyrosine,oct_1.0,55,118,8.3,NA,NA,non-paralyzed,
2018_10_29,tyra-2,JUb39,Tyrosine,oct_1.0,55,119,9,NA,NA,non-paralyzed,
2018_10_29,tyra-2,JUb39,Tyrosine,oct_1.0,55,120,13.4,NA,NA,non-paralyzed,
2018_10_29,tyra-2,JUb39,Tyrosine,oct_1.0,55,121,12.8,NA,NA,non-paralyzed,
2018_10_29,tyra-2,JUb39,Tyrosine,oct_1.0,55,122,18.8,NA,NA,non-paralyzed,
2018_10_29,tyra-2,JUb39,Tyrosine,oct_1.0,55,123,7.4,NA,NA,non-paralyzed,
2018_10_29,tyra-2,JUb39,Tyrosine,oct_1.0,55,124,4.2,NA,NA,non-paralyzed,
